faiss_id,passage_id
227,bb_1870::r330::c33
228,bb_1870::r330::c34
229,bb_1870::r330::c35
230,bb_1870::r330::c36
231,bb_1870::r330::c37
232,bb_1870::r330::c38
233,bb_1870::r330::c39
234,bb_1870::r330::c4
235,bb_1870::r330::c40
236,bb_1870::r330::c41
237,bb_1870::r330::c42
238,bb_1870::r330::c43
239,bb_1870::r330::c44
240,bb_1870::r330::c45
241,bb_1870::r330::c46
242,bb_1870::r330::c47
243,bb_1870::r330::c48
244,bb_1870::r330::c49
245,bb_1870::r330::c5
246,bb_1870::r330::c50
247,bb_1870::r330::c51
248,bb_1870::r330::c52
249,bb_1870::r330::c53
250,bb_1870::r330::c54
251,bb_1870::r330::c55
252,bb_1870::r330::c56
253,bb_1870::r330::c57
254,bb_1870::r330::c58
255,bb_1870::r330::c59
256,bb_1870::r330::c6
257,bb_1870::r330::c60
258,bb_1870::r330::c61
259,bb_1870::r330::c62
260,bb_1870::r330::c63
261,bb_1870::r330::c64
262,bb_1870::r330::c65
263,bb_1870::r330::c66
264,bb_1870::r330::c67
265,bb_1870::r330::c68
266,bb_1870::r330::c7
267,bb_1870::r330::c8
268,bb_1870::r330::c9
269,bb_196::r60::c0
270,bb_196::r60::c1
271,bb_196::r60::c10
272,bb_196::r60::c11
273,bb_196::r60::c12
274,bb_196::r60::c13
275,bb_196::r60::c2
276,bb_196::r60::c3
277,bb_196::r60::c4
278,bb_196::r60::c5
279,bb_196::r60::c6
280,bb_196::r60::c7
281,bb_196::r60::c8
282,bb_196::r60::c9
283,bb_2256::r303::c0
284,bb_2256::r303::c1
285,bb_2256::r303::c10
286,bb_2256::r303::c11
287,bb_2256::r303::c12
288,bb_2256::r303::c13
289,bb_2256::r303::c14
290,bb_2256::r303::c15
291,bb_2256::r303::c16
292,bb_2256::r303::c2
293,bb_2256::r303::c3
294,bb_2256::r303::c4
295,bb_2256::r303::c5
296,bb_2256::r303::c6
297,bb_2256::r303::c7
298,bb_2256::r303::c8
299,bb_2256::r303::c9
300,bb_2266::r87::c0
301,bb_2266::r87::c1
302,bb_2266::r87::c10
303,bb_2266::r87::c11
304,bb_2266::r87::c12
305,bb_2266::r87::c13
306,bb_2266::r87::c14
307,bb_2266::r87::c15
308,bb_2266::r87::c16
309,bb_2266::r87::c17
310,bb_2266::r87::c18
311,bb_2266::r87::c19
312,bb_2266::r87::c2
313,bb_2266::r87::c20
314,bb_2266::r87::c21
315,bb_2266::r87::c22
316,bb_2266::r87::c23
317,bb_2266::r87::c24
318,bb_2266::r87::c25
319,bb_2266::r87::c26
320,bb_2266::r87::c27
321,bb_2266::r87::c28
322,bb_2266::r87::c29
323,bb_2266::r87::c3
324,bb_2266::r87::c30
325,bb_2266::r87::c4
326,bb_2266::r87::c5
327,bb_2266::r87::c6
328,bb_2266::r87::c7
329,bb_2266::r87::c8
330,bb_2266::r87::c9
331,bb_2858::r314::c0
332,bb_2858::r314::c1
333,bb_2858::r314::c10
334,bb_2858::r314::c11
335,bb_2858::r314::c12
336,bb_2858::r314::c13
337,bb_2858::r314::c14
